Fecha y Hora,PM1.0 (µg/m³),PM10 (µg/m³),Temperatura (°C),Humedad (%),CO2 (ppm),NH3 (ppm),Alcohol (mg/m³),Benceno (ppm),day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,PM2.5_real,PM2.5_predicho
2025-04-24 06:53:16.080,17,12,27.1,87,67.5,18.55,0.01,0.019,0,0,0,0,1,0,0,18,18.36389366686285
2025-04-20 14:30:46.822,28,18,28.0,76,2.0,26.27,0.004,0.026,0,0,0,1,0,0,0,29,29.701235148407363
2025-04-23 01:26:23.370,31,19,27.1,86,285.3,9.92,0.008,0.02,0,0,0,0,0,0,1,32,32.12782691469811
2025-05-01 10:06:28.561,22,16,28.9,79,281.4,47.93,0.038,0.021,0,0,0,0,1,0,0,24,23.09717411559985
2025-04-22 02:11:13.006,30,16,26.7,91,233.7,7.43,0.006,0.021,0,0,0,0,0,1,0,33,31.88311096967695
2025-04-20 12:29:30.860,45,23,27.6,77,2.3,37.1,0.003,0.02,0,0,0,1,0,0,0,48,46.718670928380924
2025-04-29 16:24:39.886,18,10,28.9,75,152.4,37.1,0.019,0.022,0,0,0,0,0,1,0,19,19.745216207394765
2025-04-29 15:24:35.854,14,8,28.9,72,152.4,38.48,0.013,0.022,0,0,0,0,0,1,0,15,15.668888719892006
2025-04-25 16:23:56.500,69,33,30.2,67,136.3,29.48,0.013,0.02,1,0,0,0,0,0,0,72,71.25418786528577
2025-04-29 05:23:53.977,68,29,27.6,85,159.7,45.93,0.042,0.019,0,0,0,0,0,1,0,69,70.31846402367529
2025-04-24 04:53:08.568,35,23,27.1,86,63.6,18.99,0.009,0.018,0,0,0,0,1,0,0,36,36.26109002052197
2025-04-18 18:54:20.485,45,26,26.7,82,1.3,18.44,0.002,0.018,1,0,0,0,0,0,0,48,46.63394637820168
2025-05-04 14:04:24.826,22,12,28.5,71,176.0,56.33,0.009,0.022,0,0,0,1,0,0,0,24,23.413743831090937
2025-05-01 02:27:14.912,30,19,28.0,82,199.3,42.2,0.008,0.021,0,0,0,0,1,0,0,31,31.425808051428497
2025-04-21 03:33:27.486,44,24,26.7,88,181.4,5.6,0.004,0.018,0,1,0,0,0,0,0,47,45.54036300464815
2025-04-21 18:41:35.622,22,14,27.1,82,178.6,7.06,0.005,0.022,0,1,0,0,0,0,0,26,23.427068753130186
2025-04-23 07:26:45.607,62,29,27.6,85,309.4,11.39,0.009,0.02,0,0,0,0,0,0,1,64,63.79646369101013
2025-04-25 10:23:23.387,23,17,28.9,68,154.0,18.95,0.012,0.023,1,0,0,0,0,0,0,23,24.371927629649846
2025-04-17 19:56:15.912,75,36,26.2,78,1.0,17.9,0.002,0.021,0,0,0,0,1,0,0,77,76.98677388335692
2025-04-24 15:33:48.138,19,13,29.0,72,108.0,17.02,0.011,0.024,0,0,0,0,1,0,0,22,20.503993757629388
2025-04-18 15:33:17.619,32,20,27.6,75,1.2,18.95,0.002,0.018,1,0,0,0,0,0,0,35,33.45070248530347
2025-05-01 22:07:31.598,31,22,28.5,85,246.2,45.31,0.036,0.015,0,0,0,0,1,0,0,32,31.851047441742644
2025-04-26 01:57:14.579,46,22,27.6,86,158.0,22.1,0.017,0.022,0,0,1,0,0,0,0,47,48.29449976976125
2025-04-18 13:33:10.999,19,15,27.6,73,1.1,17.72,0.002,0.018,1,0,0,0,0,0,0,20,20.187150468901617
